TIPO_AGENTE,NOMBRE_COMERCIAL,RAZON_SOCIAL,ESTADO_AGENTE,DEPARTAMENTO,MUNICIPIO,CODIGO_MUNICIPIO_DANE,LATITUD,LONGITUD
DISTRIBUIDOR COMERCIALIZADOR DE GAS,PROMOTORA DE ENERGIAS SUSTENTABLES S.A.S,PROMOTORA DE ENERGIAS SUSTENTABLES S.A.S,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
DISTRIBUIDOR COMERCIALIZADOR DE GAS,EMPRESA DE TRANSPORTES LEBRIJA LTDA,EMPRESA DE TRANSPORTES LEBRIJA LIMITADA,INACTIVO,SANTANDER,LEBRIJA,68406,7.1133508682,-73.2195205688
DISTRIBUIDOR COMERCIALIZADOR DE GAS,GNV EXPRESS EDS,GNV EXPRESS S.A.S.,INACTIVO,ATLANTICO,BARRANQUILLA,08001,10.9779605865,-74.8155441284
ESTACION DE SERVICIO DE GNCV,SERVICENTRO ESSO PLANETA RICA,RUIZ ZULUAGA FLAVIO ERASMO,ACTIVO,CORDOBA,PLANETA RICA,23555,8.408200264,-75.5832443237
ESTACION DE SERVICIO DE GNCV,ESTACIÓN DE SERVICIO LA LLANERITA S.A.S.,ESTACIÓN DE SERVICIO LA LLANERITA S.A.S.,INACTIVO,META,VILLAVICENCIO,50001,4.1263689995,-73.6226043701
TALLER DE CONVERSION,SOLUGAS MONTERIA ASOCIADOS SAS,SOLUGAS MONTERIA ASOCIADOS SAS,ACTIVO,CORDOBA,MONTERIA,23001,8.7597894669,-75.8730926514
ESTACION DE SERVICIO DE GNCV,EDS GAZEL EL SURTIDOR,MASSER S.A.S.,ACTIVO,MAGDALENA,SANTA MARTA,47001,11.2046785355,-74.1998291016
DISTRIBUIDOR COMERCIALIZADOR DE GAS,PROMOTORA DE ENERGIAS SUSTENTABLES S.A.S,PROMOTORA DE ENERGIAS SUSTENTABLES S.A.S,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
TALLER DE CONVERSION,SERVIGAS CARS SAS 2,SERVIGAS CARS SAS,INACTIVO,SANTANDER,BARRANCABERMEJA,68081,7.0648570061,-73.8492431641
ESTACION DE SERVICIO DE GNCV,ESTACION DE SERVICIO LOS ARRAYANES HERVELA,DISTRIBUCIONES HERNANDEZ VELASQUEZ LDTA,ACTIVO,RISARALDA,PEREIRA,66001,4.8049850464,-75.7197113037
ESTACION DE SERVICIO DE GNCV,SERVINORTE,HUGO ALBERTO RIVEROS RESTREPO,INACTIVO,VALLE DEL CAUCA,ROLDANILLO,76622,4.4136009216,-76.1522750854
LABORATORIO DE PRUEBAS HIDROSTATICAS,ENERGIA SEGURA SAS,ENERGIA SEGURA SAS,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
TALLER DE CONVERSION,CARSHOP S.A.S,CENTRO AUTOMOTRIZ TECNO - GAS SAS,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
ESTACION DE SERVICIO DE GNCV,CERVECERIA TOCANCIPÁ,BAVARIA & CIA S.C.A,INACTIVO,CUNDINAMARCA,TOCANCIPA,25817,4.9646410942,-73.912071228
ESTACION DE SERVICIO DE GNCV,EDS OPECOM CIUDAD DE CALI,INVERSIONES RIO CAUCA Y CIA LTDA,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
ESTACION DE SERVICIO DE GNCV,CERVECERIA DEL VALLE S A,CERVECERIA DEL VALLE S.A.S.,INACTIVO,VALLE DEL CAUCA,YUMBO,76892,3.5400969982,-76.4998931885
ESTACION DE SERVICIO DE GNCV,CHIPICHAPE - GNV,MASSER S.A.S.,ACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
ESTACION DE SERVICIO DE GNCV,ESTACIÓN HOBO,ALCANOS DE COLOMBIA S.A. E.S.P.,INACTIVO,HUILA,HOBO,41349,2.5808119774,-75.4477005005
ESTACION DE SERVICIO DE GNCV,ESTACIÓN DE SERVICIO EL OBRERO,INVERSIONES JUDI S A S,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
ORGANISMO CERTIFICADOR,CCC INSPECCIONES S.A.S.,CCC INSPECCIONES S.A.S.,ACTIVO,ATLANTICO,BARRANQUILLA,08001,10.9779605865,-74.8155441284
TALLER DE CONVERSION,MGAS,MONTAGUT PRADO MILENA,INACTIVO,SANTANDER,BARRANCABERMEJA,68081,7.0648570061,-73.8492431641
ESTACION DE SERVICIO DE GNCV,ESTACIÓN DE SERVICIO EL OBRERO,INVERSIONES JUDI S A S,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
COMERCIALIZADOR DE EQUIPOS,DISTRIBUIDORA LOS COCHES LA SABANA S.A.S,DISTRIBUIDORA LOS COCHES LA SABANA S.A.S,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
ESTACION DE SERVICIO DE GNCV,DISTRACOM LA GRAN MANZANA,DISTRACOM S.A.,ACTIVO,TOLIMA,SAN SEBASTIAN DE MARIQUITA,73443,5.1997079849,-74.8892745972
ESTACION DE SERVICIO DE GNCV,ESTACION DE SERVICIO LA PLAZUELA GNV,MASSER S.A.S.,ACTIVO,CALDAS,MANIZALES,17001,5.057656765,-75.491027832
